"Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"aides culinaires et ingrédients divers","aides culinaires","Court-bouillon pour poissons, déshydraté",7.58,2.93e-7,30.3,0.025,4.74e-7,2.09e-7,6.62e-9,0.0456,0.00161,0.0268,0.137,70.2,106,3.38,700,0.0000514
"aides culinaires et ingrédients divers","aides culinaires","Pizza, sauce garniture pour",0.94,2.7e-8,0.558,0.00393,7.86e-8,4.24e-8,8.82e-10,0.00805,0.000193,0.00416,0.0303,11,67.7,2.47,24.4,0.00000591
"aides culinaires et ingrédients divers","aides culinaires","Préparation culinaire à base de soja, type ""crème de soja""",1.17,3.38e-8,0.545,0.00402,6.42e-8,2.66e-8,2.14e-9,0.00632,0.000357,0.00723,0.0244,30.8,116,0.422,22.4,0.00000396
"aides culinaires et ingrédients divers","algues","Agar (algue), cru",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Ao-nori (Enteromorpha sp.), séchée ou déshydratée",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Dulse (Palmaria palmata), séchée ou déshydratée",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Haricot de mer (Himanthalia elongata), séchée ou déshydratée",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Kombu breton (Laminaria digitata), séchée ou déshydratée",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Kombu royal (Saccharina latissima), séchée ou déshydratée",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Laitue de mer (Ulva sp.), séchée ou déshydratée",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Nori (Porphyra sp.), séchée ou déshydratée",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Spiruline (Spirulina sp.), séchée ou déshydratée",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Wakamé (Undaria pinnatifida), séchée ou déshydratée",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Wakamé atlantique (Alaria esculenta), séchée ou déshydratée",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","condiments","Moutarde",1.59,8.14e-8,0.627,0.0073,1.9e-7,3.82e-8,7.49e-10,0.0242,0.00023,0.0104,0.0953,13.7,105,0.436,30,0.00000554
"aides culinaires et ingrédients divers","condiments","Moutarde à l'ancienne",1.59,8.14e-8,0.627,0.0073,1.9e-7,3.82e-8,7.49e-10,0.0242,0.00023,0.0104,0.0953,13.7,105,0.436,30,0.00000554
"aides culinaires et ingrédients divers","condiments","Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)",1.17,8.92e-8,0.308,0.00584,8.2e-8,2.44e-8,5.06e-10,0.00804,0.000129,0.00279,0.0239,15.6,48.9,2.01,20.6,0.00000506
"aides culinaires et ingrédients divers","condiments","Tapenade",1.62,1.09e-7,0.783,0.0101,1.77e-7,8.89e-8,1.33e-9,0.0211,0.000324,0.00928,0.0771,37.4,215,7.62,37.5,0.0000103
"aides culinaires et ingrédients divers","condiments","Vinaigre",0.96,5.08e-8,0.323,0.00392,5.71e-8,1.04e-7,1.86e-9,0.00525,0.000176,0.00552,0.0172,16.1,94.2,0.149,17.2,0.00000704
"aides culinaires et ingrédients divers","condiments","Vinaigre balsamique",0.96,5.08e-8,0.323,0.00392,5.71e-8,1.04e-7,1.86e-9,0.00525,0.000176,0.00552,0.0172,16.1,94.2,0.149,17.2,0.00000704
"aides culinaires et ingrédients divers","condiments","Vinaigre de cidre",0.841,5.37e-8,0.209,0.00309,4.6e-8,1.23e-8,5.4e-10,0.00375,0.0000937,0.00134,0.0108,17.6,20.6,0.69,13.6,0.00000317
"aides culinaires et ingrédients divers","denrées destinées à une alimentation particulière","Substitut de repas hypocalorique, crème dessert",2.66,4.64e-8,0.75,0.00592,1.32e-7,2.44e-8,9.26e-10,0.0156,0.000268,0.00515,0.06,21.4,55.7,0.805,42.8,0.00000809
"aides culinaires et ingrédients divers","denrées destinées à une alimentation particulière","Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé",2.66,4.64e-8,0.75,0.00592,1.32e-7,2.44e-8,9.26e-10,0.0156,0.000268,0.00515,0.06,21.4,55.7,0.805,42.8,0.00000809
"aides culinaires et ingrédients divers","denrées destinées à une alimentation particulière","Substitut de repas hypocalorique, poudre reconstituée avec lait écrémé, type milk-shake",2.66,4.64e-8,0.75,0.00592,1.32e-7,2.44e-8,9.26e-10,0.0156,0.000268,0.00515,0.06,21.4,55.7,0.805,42.8,0.00000809
"aides culinaires et ingrédients divers","denrées destinées à une alimentation particulière","Substitut de repas hypocalorique, prêt à boire",2.66,4.64e-8,0.75,0.00592,1.32e-7,2.44e-8,9.26e-10,0.0156,0.000268,0.00515,0.06,21.4,55.7,0.805,42.8,0.00000809
"aides culinaires et ingrédients divers","épices","Cannelle, poudre",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Cardamome, poudre",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Carvi, graine",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Clou de girofle",9.39,2.39e-7,0.877,0.0346,9.7e-7,9.69e-8,2.74e-9,0.075,0.00141,0.0673,0.41,55.1,688,4.37,78.7,0.0000587
"aides culinaires et ingrédients divers","épices","Coriandre, graine",2.13,1.72e-7,0.31,0.00874,1.09e-7,2.35e-8,7.13e-10,0.0104,0.00025,0.00546,0.0266,37.8,19.2,1.47,32.9,0.00000661
"aides culinaires et ingrédients divers","épices","Cumin, graine",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Curcuma, poudre",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Curry, poudre",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Fenouil, graine",2.13,1.72e-7,0.31,0.00874,1.09e-7,2.35e-8,7.13e-10,0.0104,0.00025,0.00546,0.0266,37.8,19.2,1.47,32.9,0.00000661
"aides culinaires et ingrédients divers","épices","Fenugrec, graine",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Gingembre, poudre",2.02,1.73e-7,0.306,0.0095,1.28e-7,3.71e-8,8.23e-10,0.0142,0.000236,0.00451,0.0422,22.2,21.4,2.18,31.7,0.00000509
"aides culinaires et ingrédients divers","épices","Gingembre, racine crue",0.494,8.69e-9,0.078,0.00402,5.29e-8,2.62e-8,4.12e-10,0.008,0.0000724,0.00282,0.029,6.21,12.3,1.79,7.35,0.00000232
"aides culinaires et ingrédients divers","épices","Laurier, feuille",1.87,1.7e-7,0.304,0.00699,1.23e-7,1.91e-8,6.31e-10,0.0117,0.000253,0.00468,0.0363,20,36.8,4.39,29.5,0.00000511
"aides culinaires et ingrédients divers","épices","Noix de muscade",2.23,1.74e-7,0.309,0.011,1.12e-7,2.38e-8,7.51e-10,0.0135,0.000251,0.00621,0.035,38.4,19.3,1.47,34.1,0.0000067
"aides culinaires et ingrédients divers","épices","Paprika",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Pavot, graine",2.9,1.81e-7,0.32,0.0126,4.47e-7,1.84e-7,2.45e-9,0.058,0.0016,0.0305,0.239,36.2,292,4.36,36.2,0.00000995
"aides culinaires et ingrédients divers","épices","Poivre blanc, poudre",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Poivre de Cayenne ou piment de Cayenne",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Poivre noir, poudre",9.4,2.39e-7,0.886,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,79,0.0000587
"aides culinaires et ingrédients divers","épices","Quatre épices",6.4,2.12e-7,0.644,0.0246,6.22e-7,7.02e-8,1.94e-9,0.05,0.000932,0.0418,0.258,44.2,414,3.36,59.8,0.0000369
"aides culinaires et ingrédients divers","épices","Safran",9.4,2.39e-7,0.878,0.0347,9.71e-7,9.7e-8,2.74e-9,0.0751,0.00141,0.0674,0.41,55.2,688,4.38,78.8,0.0000587
"aides culinaires et ingrédients divers","épices","Vanille, extrait alcoolique",4.38,2.82e-7,0.559,0.016,1.97e-7,2.97e-8,1.07e-9,0.018,0.00188,0.103,0.0397,39,997,0.68,55.5,0.00000625
"aides culinaires et ingrédients divers","épices","Vanille, extrait aqueux",4.38,2.82e-7,0.559,0.016,1.97e-7,2.97e-8,1.07e-9,0.018,0.00188,0.103,0.0397,39,997,0.68,55.5,0.00000625
"aides culinaires et ingrédients divers","herbes","Ail séché, poudre",1.77,1.72e-7,0.333,0.0064,9.38e-8,1.66e-8,6.48e-10,0.00763,0.000209,0.00334,0.0177,19.8,24,0.83,29.4,0.00000496
"aides culinaires et ingrédients divers","herbes","Ail, cru",0.383,9.79e-9,0.132,0.00123,2.44e-8,7.97e-9,3.15e-10,0.00186,0.00007,0.00215,0.00579,5.05,18.7,0.553,6.38,0.00000276
"aides culinaires et ingrédients divers","herbes","Aneth, frais",0.879,8.29e-9,0.0867,0.00261,6.92e-8,1.23e-8,3.56e-10,0.00761,0.000151,0.00397,0.0303,5.84,35.1,5.16,12.4,0.00000375
"aides culinaires et ingrédients divers","herbes","Basilic, frais",0.879,8.29e-9,0.0867,0.00261,6.92e-8,1.23e-8,3.56e-10,0.00761,0.000151,0.00397,0.0303,5.84,35.1,5.16,12.4,0.00000375
"aides culinaires et ingrédients divers","herbes","Basilic, séché",2.58,1.78e-7,0.321,0.0108,2.66e-7,4.34e-8,1.18e-9,0.032,0.000545,0.0161,0.124,31.5,142,20.2,35.4,0.0000104
"aides culinaires et ingrédients divers","herbes","Cerfeuil, frais",0.879,8.29e-9,0.0867,0.00261,6.92e-8,1.23e-8,3.56e-10,0.00761,0.000151,0.00397,0.0303,5.84,35.1,5.16,12.4,0.00000375
"aides culinaires et ingrédients divers","herbes","Ciboule ou Ciboulette, fraîche",0.739,1.02e-8,0.123,0.00174,3.2e-8,9.05e-9,3.67e-10,0.00237,0.0000948,0.00225,0.00669,5.37,18.9,0.699,12.1,0.00000351
"aides culinaires et ingrédients divers","herbes","Coriandre, fraiche",1.03,9.81e-9,0.0828,0.00419,4.61e-8,1.52e-8,3.94e-10,0.00521,0.000123,0.0043,0.0159,24.5,11.5,1.31,14.7,0.00000495
"aides culinaires et ingrédients divers","herbes","Estragon, frais",0.735,7.21e-9,0.0763,0.00225,6.06e-8,1.04e-8,3.04e-10,0.00668,0.000127,0.00345,0.0266,4.96,30.9,4.54,10.9,0.00000329
"aides culinaires et ingrédients divers","herbes","Herbes de Provence, séchées",2.58,1.78e-7,0.322,0.0108,2.68e-7,4.37e-8,1.19e-9,0.0323,0.000549,0.0163,0.125,31.7,143,20.4,35.4,0.0000105
"aides culinaires et ingrédients divers","herbes","Marjolaine, séchée",2.58,1.78e-7,0.321,0.0108,2.66e-7,4.34e-8,1.18e-9,0.032,0.000545,0.0161,0.124,31.5,142,20.2,35.4,0.0000104
"aides culinaires et ingrédients divers","herbes","Meloukhia, feuilles de corète séchées, en poudre",2.18,1.84e-7,0.487,0.00798,1.31e-7,1.24e-7,2.06e-9,0.0118,0.000289,0.0055,0.0341,28.9,27.5,1.99,40.5,0.0000111
"aides culinaires et ingrédients divers","herbes","Menthe, fraîche",0.735,7.21e-9,0.0763,0.00225,6.06e-8,1.04e-8,3.04e-10,0.00668,0.000127,0.00345,0.0266,4.96,30.9,4.54,10.9,0.00000329
"aides culinaires et ingrédients divers","herbes","Origan, séché",2.58,1.78e-7,0.321,0.0108,2.66e-7,4.34e-8,1.18e-9,0.032,0.000545,0.0161,0.124,31.5,142,20.2,35.4,0.0000104
"aides culinaires et ingrédients divers","herbes","Persil, frais",1.12,1.25e-8,0.086,0.00524,1.04e-7,6.12e-8,1.79e-9,0.0144,0.000236,0.0207,0.0618,6.66,130,1.86,13.6,0.00000452
"aides culinaires et ingrédients divers","herbes","Persil, séché",4.34,2.02e-7,0.365,0.0242,4.64e-7,2.72e-7,7.87e-9,0.067,0.00104,0.0942,0.283,39.2,590,8.11,47.6,0.000016
"aides culinaires et ingrédients divers","herbes","Raifort, cru",0.741,9.63e-9,0.111,0.00173,3.23e-8,1.19e-8,3.24e-10,0.0024,0.0000892,0.00145,0.0059,18.9,10.2,0.527,12,0.00000328
"aides culinaires et ingrédients divers","herbes","Romarin, frais",0.879,8.29e-9,0.0867,0.00261,6.92e-8,1.23e-8,3.56e-10,0.00761,0.000151,0.00397,0.0303,5.84,35.1,5.16,12.4,0.00000375
"aides culinaires et ingrédients divers","herbes","Romarin, séché",2.58,1.78e-7,0.321,0.0108,2.66e-7,4.34e-8,1.18e-9,0.032,0.000545,0.0161,0.124,31.5,142,20.2,35.4,0.0000104
"aides culinaires et ingrédients divers","herbes","Sarriette, séchée",2.58,1.78e-7,0.321,0.0108,2.66e-7,4.34e-8,1.18e-9,0.032,0.000545,0.0161,0.124,31.5,142,20.2,35.4,0.0000104
"aides culinaires et ingrédients divers","herbes","Sauge, fraîche",0.879,8.29e-9,0.0867,0.00261,6.92e-8,1.23e-8,3.56e-10,0.00761,0.000151,0.00397,0.0303,5.84,35.1,5.16,12.4,0.00000375
"aides culinaires et ingrédients divers","herbes","Sauge, séchée",2.58,1.78e-7,0.321,0.0108,2.66e-7,4.34e-8,1.18e-9,0.032,0.000545,0.0161,0.124,31.5,142,20.2,35.4,0.0000104
"aides culinaires et ingrédients divers","herbes","Thym, frais",0.879,8.29e-9,0.0867,0.00261,6.92e-8,1.23e-8,3.56e-10,0.00761,0.000151,0.00397,0.0303,5.84,35.1,5.16,12.4,0.00000375
"aides culinaires et ingrédients divers","herbes","Thym, séché",2.58,1.78e-7,0.321,0.0108,2.66e-7,4.34e-8,1.18e-9,0.032,0.000545,0.0161,0.124,31.5,142,20.2,35.4,0.0000104
"aides culinaires et ingrédients divers","ingrédients divers","Base de pizza à la crème",2.36,3.22e-8,0.967,0.00498,1.88e-7,3.31e-8,1.2e-9,0.0247,0.000229,0.00778,0.104,24.4,95.4,0.372,32.1,0.00000628
"aides culinaires et ingrédients divers","ingrédients divers","Base de pizza tomatée",0.98,2.97e-8,0.587,0.00439,8.93e-8,4.35e-8,3.98e-9,0.00844,0.000261,0.00428,0.0314,11.9,67.4,2.48,24.6,0.00000588
"aides culinaires et ingrédients divers","ingrédients divers","Bicarbonate de soude",1.61,1.79e-8,0.154,0.00604,2.07e-7,3.69e-8,1.27e-9,0.0182,0.000692,0.00265,0.0479,88.2,19.4,2.04,18.2,0.0000361
"aides culinaires et ingrédients divers","ingrédients divers","Gélatine, sèche",2.62,3.96e-8,0.507,0.00629,2.9e-7,2.97e-8,1.89e-9,0.0378,0.000398,0.0115,0.161,72.6,137,0.85,22.9,0.0000107
"aides culinaires et ingrédients divers","ingrédients divers","Lécithine de soja",5.4,4.32e-8,0.211,0.0207,1.52e-7,8.94e-8,3.77e-9,0.0184,0.000397,0.0255,0.06,238,44.4,0.673,38.2,0.0000126
"aides culinaires et ingrédients divers","ingrédients divers","Levure chimique ou Poudre à lever",2.11,3.5e-8,0.192,0.00833,2e-7,7.81e-8,3.01e-9,0.0251,0.00125,0.00393,0.0423,53.8,41.1,3.82,22.9,0.0000579
"aides culinaires et ingrédients divers","ingrédients divers","Miso",1.21,1.18e-7,0.526,0.00433,6.99e-8,1.89e-7,6.09e-10,0.00818,0.00022,0.00889,0.0306,19,-41.1,2.9,22,0.0000074
"aides culinaires et ingrédients divers","ingrédients divers","Sirop d'agave",5.63,0.0000021,2.83,0.0481,2.8e-7,1.56e-7,6.51e-9,0.0434,0.00126,0.0167,0.172,65.6,156,0.676,127,0.0000819
"aides culinaires et ingrédients divers","ingrédients divers","Sirop d'érable",2.3,0.00000229,0.204,0.011,3.1e-7,2.94e-8,1.23e-9,0.011,0.000295,0.00355,0.0326,12.6,72.3,2.5,32.4,0.0000582
"aides culinaires et ingrédients divers","ingrédients divers","Sirop léger pour fruits appertisés au sirop",0.934,0.00000202,0.151,0.00259,4.68e-8,7.3e-9,3.45e-10,0.00435,0.000142,0.00125,0.0137,4.18,6.58,0.423,16.2,0.0000511
"aides culinaires et ingrédients divers","ingrédients divers","Sirop pour fruits appertisés au sirop",0.934,0.00000202,0.151,0.00259,4.68e-8,7.3e-9,3.45e-10,0.00435,0.000142,0.00125,0.0137,4.18,6.58,0.423,16.2,0.0000511
"aides culinaires et ingrédients divers","ingrédients divers","Son d'avoine",0.589,1.12e-8,0.105,0.00223,6.14e-8,6.86e-9,4.56e-10,0.007,0.000363,0.0265,0.0288,5.85,90.1,0.275,6.92,0.00000266
"aides culinaires et ingrédients divers","ingrédients divers","Son de blé",0.372,7e-9,0.124,0.00126,3.2e-8,3.36e-9,4.03e-10,0.00354,0.0000725,0.0023,0.0145,5.36,30.5,0.0863,5.64,0.00000181
"aides culinaires et ingrédients divers","ingrédients divers","Son de maïs",0.397,1.07e-8,0.119,0.00141,4.33e-8,6.24e-9,3.89e-10,0.00461,0.0000749,0.00194,0.0198,11.7,27.2,0.306,6.03,0.00000193
"aides culinaires et ingrédients divers","ingrédients divers","Son de riz",1.11,1.82e-8,0.106,0.0043,8.93e-8,3.4e-7,3.23e-10,0.0129,0.000136,0.0106,0.0519,30.4,32.5,7.1,8.15,0.00000325
"aides culinaires et ingrédients divers","ingrédients divers","Tempeh",2.37,2.43e-8,0.164,0.00609,9.26e-8,3.37e-8,7.17e-10,0.00876,0.000387,0.00875,0.0238,6.1,89.9,1.18,35.6,0.00000479
"aides culinaires et ingrédients divers","sauces","Crème anglaise, préemballée",1.81,4.08e-8,0.688,0.00482,1.48e-7,2.15e-8,1.01e-9,0.0187,0.000231,0.00623,0.078,21.5,71.1,0.546,26.2,0.00000608
"aides culinaires et ingrédients divers","sauces","Guacamole, préemballé",1.64,8.73e-7,0.655,0.00673,8.44e-8,6.03e-8,9.46e-10,0.011,0.0003,0.00843,0.0356,26.3,77.3,16.8,29.4,0.00003
"aides culinaires et ingrédients divers","sauces","Harissa (sauce condimentaire)",1.36,9.49e-7,1.07,0.00702,1.4e-7,8.4e-8,1.17e-9,0.0168,0.000363,0.00814,0.0641,26,180,6.47,40.6,0.0000312
"aides culinaires et ingrédients divers","sauces","Houmous",1.11,8.72e-7,0.638,0.00489,8.12e-8,3.34e-8,1.08e-9,0.0107,0.000318,0.00866,0.04,19.7,124,1.27,25.5,0.0000257
"aides culinaires et ingrédients divers","sauces","Ketchup",1.19,9.41e-7,0.781,0.00418,7.73e-8,2.84e-8,8.21e-10,0.00787,0.000219,0.00393,0.0281,9.1,26.3,0.908,31.4,0.0000262
"aides culinaires et ingrédients divers","sauces","Mayonnaise (70% MG min.)",2.69,9.96e-7,0.906,0.011,2.65e-7,9.87e-8,3.64e-9,0.0345,0.000749,0.0223,0.149,56.3,369,4.25,42.4,0.0000324
"aides culinaires et ingrédients divers","sauces","Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée",2.69,9.96e-7,0.906,0.011,2.65e-7,9.87e-8,3.64e-9,0.0345,0.000749,0.0223,0.149,56.3,369,4.25,42.4,0.0000324
"aides culinaires et ingrédients divers","sauces","Sauce à la crème",2.61,9.5e-7,1.25,0.00588,1.97e-7,3.7e-8,1.25e-9,0.0258,0.000279,0.00808,0.107,25.9,94.4,0.463,41.8,0.0000279
"aides culinaires et ingrédients divers","sauces","Sauce à la crème aux épices",2.39,9.5e-7,1.18,0.00592,1.8e-7,3.62e-8,1.23e-9,0.0233,0.000282,0.00726,0.0956,33.5,92,0.542,40.4,0.0000278
"aides culinaires et ingrédients divers","sauces","Sauce à la crème aux herbes",2.39,9.5e-7,1.18,0.00592,1.8e-7,3.62e-8,1.23e-9,0.0233,0.000282,0.00726,0.0956,33.5,92,0.542,40.4,0.0000278
"aides culinaires et ingrédients divers","sauces","Sauce à l'échalote à la crème, préemballée",2.37,9.49e-7,1.19,0.0055,1.76e-7,3.42e-8,1.16e-9,0.0227,0.000268,0.00744,0.0934,23.3,84.4,0.523,40.1,0.0000275
"aides culinaires et ingrédients divers","sauces","Sauce aigre douce, préemballée",1.23,9.45e-7,0.853,0.00441,8.27e-8,3.67e-8,1.05e-9,0.00876,0.000256,0.00518,0.0326,12.4,58.2,1.06,32.5,0.0000268
"aides culinaires et ingrédients divers","sauces","Sauce aïoli, préemballée",1.64,9.7e-7,0.827,0.0125,3.06e-7,2.03e-7,2.42e-9,0.0405,0.000665,0.0187,0.166,66.1,520,18,43.6,0.000036
"aides culinaires et ingrédients divers","sauces","Sauce américaine, préemballée",3.9,9.64e-7,0.894,0.014,3.42e-7,4.69e-8,2.15e-9,0.044,0.000417,0.0132,0.17,38.9,145,0.871,43.6,0.0000321
"aides culinaires et ingrédients divers","sauces","Sauce armoricaine, préemballée",3.91,9.64e-7,0.963,0.014,3.43e-7,4.75e-8,2.16e-9,0.044,0.000422,0.0132,0.17,39,145,0.875,45.2,0.0000326
"aides culinaires et ingrédients divers","sauces","Sauce au beurre blanc, préemballée",4.63,9.63e-7,1.1,0.00961,3.8e-7,1.01e-7,2.86e-9,0.0525,0.000445,0.0166,0.224,56,236,0.735,42.2,0.0000335
"aides culinaires et ingrédients divers","sauces","Sauce au beurre, préemballée",4.63,9.63e-7,1.1,0.00961,3.8e-7,1.01e-7,2.86e-9,0.0525,0.000445,0.0166,0.224,56,236,0.735,42.2,0.0000335
"aides culinaires et ingrédients divers","sauces","Sauce au chocolat",6.88,2.72e-8,0.695,0.012,1.44e-7,2.18e-8,3.03e-9,0.0156,0.000805,0.0176,0.0627,21.1,263,0.469,35.1,0.00000558
"aides culinaires et ingrédients divers","sauces","Sauce au curry, préemballée",1.07,9.38e-7,0.815,0.00375,6.07e-8,1.83e-8,9.42e-10,0.00595,0.000196,0.00337,0.0196,11.6,23.8,1.06,30.3,0.0000246
"aides culinaires et ingrédients divers","sauces","Sauce au fromage pour risotto ou pâtes, préemballée",4.17,9.61e-7,1.02,0.00848,3.45e-7,5.25e-8,1.97e-9,0.0461,0.000433,0.0133,0.195,46,175,0.623,39.5,0.0000297
"aides culinaires et ingrédients divers","sauces","Sauce au poivre vert, préemballée",1.44,9.41e-7,0.95,0.00467,9.93e-8,2.08e-8,6.81e-10,0.0104,0.000199,0.0036,0.04,11,36,0.33,33.2,0.0000253
"aides culinaires et ingrédients divers","sauces","Sauce au poivre, chaude, préemballée",2.03,9.48e-7,1.1,0.00658,1.56e-7,2.87e-8,9.69e-10,0.0174,0.000243,0.0056,0.0696,17.7,63.9,0.396,38.5,0.0000266
"aides culinaires et ingrédients divers","sauces","Sauce au poivre, condimentaire, froide, préemballée",2.02,9.47e-7,1.03,0.00653,1.55e-7,2.82e-8,9.55e-10,0.0173,0.000238,0.00559,0.0695,17.6,63.8,0.392,37,0.000026
"aides culinaires et ingrédients divers","sauces","Sauce au roquefort, préemballée",4.63,9.63e-7,1.1,0.00961,3.8e-7,1.01e-7,2.86e-9,0.0525,0.000445,0.0166,0.224,56,236,0.735,42.2,0.0000335
"aides culinaires et ingrédients divers","sauces","Sauce au vin rouge",1.64,9.49e-7,1.04,0.00532,1.17e-7,1.01e-7,2.15e-9,0.0134,0.000328,0.00804,0.0527,27.2,112,0.522,37.8,0.0000306
