"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"Gaz naturel",,,"kgCO2e/GJ PCS",51,50.3,0.126,0.615,0,"France continentale","2014-11-05","2018-09-18","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/GJ PCS",9.49,6.32,3.17,0,0,"France continentale","2014-11-05","2018-09-18","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/GJ PCS",59.1,55.2,3.3,0.615,0,"Europe","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/GJ PCS",51.2,50.5,0.126,0.615,0,"Europe","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/GJ PCS",7.87,4.7,3.17,0,0,"Europe","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/tep PCS",2463,2299,138,25.8,0,"France continentale","2014-11-05","2018-09-18","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/tep PCS",2142,2111,5.28,25.8,0,"France continentale","2014-11-05","2018-09-18","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/tep PCS",321,188,133,0,0,"France continentale","2014-11-05","2018-09-18","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/tep PCS",2484,2320,138,25.8,0,"Europe","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/tep PCS",2154,2123,5.28,25.8,0,"Europe","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/tep PCS",330,197,133,0,0,"Europe","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les fatures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/kWh PCS",0.218,0.204,0.0119,0.00221,0,"France continentale","2014-11-05","2018-09-18","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/kWh PCS",0.184,0.181,0.000453,0.00221,0,"France continentale","2014-11-05","2018-09-18","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/kWh PCS",0.0342,0.0228,0.0114,0,0,"France continentale","2014-11-05","2018-09-18","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/kWh PCS",0.213,0.199,0.0119,0.00221,0,"Europe","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/kWh PCS",0.185,0.182,0.000452,0.00221,0,"Europe","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/kWh PCS",0.0283,0.0169,0.0114,0,0,"Europe","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/m3 (n)",2.52,2.35,0.137,0.0256,0,"France continentale","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/m3 (n)",2.12,2.09,0.00523,0.0256,0,"France continentale","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
"Gaz naturel",,,"kgCO2e/m3 (n)",0.395,0.263,0.132,0,0,"France continentale","2014-11-05","2014-11-05","DonnÃ©es de l'article L229-25 de la loi TECV",,"Attention les factures de gaz naturel sont usuellement exprimées en PCS et non en PCI comme pour les autres combustibles !"
