"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"""""""	Salade César au poulet (salade verte""""""","fromage, croûtos, sauce)",,"kgCO2e/kg de poids net",2.81,,,,,"France continentale","2021-03-04","2024-05-17",,,
"""""""Barre céréalière """"""""équilibre"""""""" aux fruits""""""","enrichie en vitamines et minéraux",,"kgCO2e/kg de poids net",2.46,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Barre céréalière """"""""équilibre"""""""" chocolatée""""""","enrichie en vitamines et minéraux",,"kgCO2e/kg de poids net",6.09,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Bière """"""""coeur de marché"""""""" (4-5° alcool)""""""",,,"kgCO2e/kg de poids net",1.12,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur"
"""""""Bière """"""""de spécialités"""""""" ou d'abbaye""""""","régionales ou d'une brasserie (degré d'alcool variable)",,"kgCO2e/kg de poids net",1.12,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur"
"""""""Bière """"""""spéciale"""""""" (5-6° alcool)""""""",,,"kgCO2e/kg de poids net",1.12,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur"
"""""""Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""","préemballée",,"kgCO2e/kg de poids net",3.83,,,,,"France continentale","2021-03-04","2024-05-17",,,
"""""""Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""","préemballée",,"kgCO2e/kg de poids net",2.71,,,,,"France continentale","2023-03-16","2024-05-17",,2.1,"Livraison : Ambiant (court) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat (non enrichies en vitamines et minérau",,,"kgCO2e/kg de poids net",3.4,,,,,"France continentale","2023-03-16","2024-05-17",,3.7,"Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation"
"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat""""""","enrichies en vitamines et minéraux",,"kgCO2e/kg de poids net",3.4,,,,,"France continentale","2023-03-16","2024-05-17",,3.7,"Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation"
"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits (non enrichies en vitamines et minéraux",,,"kgCO2e/kg de poids net",3.56,,,,,"France continentale","2023-03-16","2024-05-17",,4,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits secs (à coque)""""""","enrichis en vitamines et minéraux",,"kgCO2e/kg de poids net",3.56,,,,,"France continentale","2023-03-16","2024-05-17",,4,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits""""""","enrichies en vitamines et minéraux",,"kgCO2e/kg de poids net",3.56,,,,,"France continentale","2023-03-16","2024-05-17",,4,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" nature (non enrichies en vitamines et minéraux)""""""",,,"kgCO2e/kg de poids net",3.56,,,,,"France continentale","2023-03-16","2024-05-17",,4,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" nature ou au miel""""""","enrichies en vitamines et minéraux",,"kgCO2e/kg de poids net",3.56,,,,,"France continentale","2023-03-16","2024-05-17",,4,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat""""""",,,"kgCO2e/kg de poids net",7.55,,,,,"France continentale","2021-03-04","2024-05-17",,,
"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat""""""",,,"kgCO2e/kg de poids net",5.92,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation"
"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits""""""",,,"kgCO2e/kg de poids net",3.4,,,,,"France continentale","2021-03-04","2024-05-17",,,
"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits""""""",,,"kgCO2e/kg de poids net",2.29,,,,,"France continentale","2023-03-16","2024-05-17",,2.5,"Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation"
"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille""""""",,,"kgCO2e/kg de poids net",7.55,,,,,"France continentale","2021-03-04","2024-05-17",,,
"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille""""""",,,"kgCO2e/kg de poids net",5.92,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation"
"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""","appertisé","égoutté","kgCO2e/kg de poids net",1.65,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""","appertisé, égoutté",,"kgCO2e/kg de poids net",1.9,,,,,"France continentale","2021-03-04","2024-05-17",,,
"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""","cru",,"kgCO2e/kg de poids net",0.756,,,,,"France continentale","2021-03-04","2024-05-17",,,
"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""","cru",,"kgCO2e/kg de poids net",0.771,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation"
"""""""Poêlée de légumes assaisonnés aux champignons (""""""""champêtre"""""""")""""""","surgelée",,"kgCO2e/kg de poids net",1.19,,,,,"France continentale","2023-03-16","2024-05-17",,3.2,"Livraison : Congelé - Matériau d'emballage : LDPE - Préparation : Micro-onde"
"(4s,5s)-1,1,2,2,3,3,4,5- octafluorocyclopentane",,"PRG à 100 ans","kgCO2e/kg",258,,,,,"Monde","2023-08-23","2023-08-23",,,
"(e)-1-chloro-2-fluoroethene",,"PRG à 100 ans","kgCO2e/kg",0.004,,,,,"Monde","2023-08-23","2023-09-08",,,
"(e)-hex-2-en-1-ol",,"PRG à 100 ans","kgCO2e/kg",0.002,,,,,"Monde","2023-08-23","2023-09-08",,,
"(z)-hex-2-en-1-ol",,"PRG à 100 ans","kgCO2e/kg",0.003,,,,,"Monde","2023-08-23","2023-09-08",,,
"1 achat sur le web",,,"kgCO2e/unité",0.00755,,,,,"Monde","2014-11-05","2020-04-02",,,
"1 Kwh PCI de Gaz Naturel - Eau Chaude Sanitaire",,,"kgCO2e/kWh PCI",0.267,,,,,"France continentale","2018-02-16","2018-02-16",,,
"1 kwh PCI gaz - Usage Cuisson",,,"kgCO2e/kWh PCI",0.391,,,,,"France continentale","2018-02-16","2018-02-16",,,
"1 kWh PCI gaz naturel - usage chauffage",,,"kgCO2e/kWh PCI",0.267,,,,,"France continentale","2018-02-16","2018-02-16",,,
"1 mail",,,"kgCO2e/unité",0.004,,,,,"Monde","2014-11-05","2014-11-05",,,
"1 mail avec pièce jointe",,,"kgCO2e/unité",0.035,,,,,"Monde","2014-11-05","2014-11-05",,,
"1 requête de navigation web",,,"kgCO2e/unité",0.00101,,,,,"Monde","2014-11-05","2014-11-05",,,
"1 requête internet",,,"kgCO2e/unité",0.00665,,,,,"Monde","2014-11-05","2014-11-05",,,
"1 SPAM",,,"kgCO2e/unité",0.00003,,,,,"Monde","2014-11-05","2014-11-05",,,
"1 transaction logiciel classique",,,"kgCO2e/unité",0.00135,,,,,"Monde","2014-11-05","2014-11-05",,,
"1 tweet",,,"kgCO2e/unité",0.00002,,,,,"Monde","2014-11-05","2014-11-05",,,
"1,1,1,2,2,3,3-heptafluoro-3- (1,2,2,2- tetrafluoroethoxy)propane",,"PRG à 100 ans","kgCO2e/kg",6630,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,1,2,2,4,5,5,5-nonafluoro-4- (trifluoromethyl)pentan-3-one",,"PRG à 100 ans","kgCO2e/kg",0.11,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,1,3,3,3-hexafluoropropan-2- ol",,"PRG à 100 ans","kgCO2e/kg",206,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,1-trifluorobutan-2-one",,"PRG à 100 ans","kgCO2e/kg",0.1,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,1-trifluoropropan-2-one",,"PRG à 100 ans","kgCO2e/kg",0.09,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8, 8a-octadecafluoronaphthalene",,"PRG à 100 ans","kgCO2e/kg",7800,,,,,"Monde","2023-08-23","2024-09-25",,,
"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8, 8a-octadecafluoronaphthalene",,"PRG à 100 ans","kgCO2e/kg",7120,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,2,2,3,3,4- heptafluorocyclopentane",,"PRG à 100 ans","kgCO2e/kg",231,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,2,2,3,3- hexafluorocyclopentane",,"PRG à 100 ans","kgCO2e/kg",120,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,2,2-tetrachloroethene",,"PRG à 100 ans","kgCO2e/kg",6.34,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,2,2-tetrafluoro-3- methoxypropane",,"PRG à 100 ans","kgCO2e/kg",1.68,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,2,3,4,4-hexafluorobuta-1,3- diene",,"PRG à 100 ans","kgCO2e/kg",0.004,,,,,"Monde","2023-08-23","2023-09-08",,,
"1,1,2-trichloroethene",,"PRG à 100 ans","kgCO2e/kg",0.04,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,1,2-trifluoro-2- (trifluoromethoxy)ethane",,"PRG à 100 ans","kgCO2e/kg",1260,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,2-dibromoethane",,"PRG à 100 ans","kgCO2e/kg",1.02,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,2-dichloroethane",,"PRG à 100 ans","kgCO2e/kg",1.3,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,3,3,4,4,5,5- heptafluorocyclopentene",,"PRG à 100 ans","kgCO2e/kg",45.1,,,,,"Monde","2023-08-23","2023-08-23",,,
"1,3,3,4,4-pentafluorocyclobutene",,"PRG à 100 ans","kgCO2e/kg",92.4,,,,,"Monde","2023-08-23","2023-08-23",,,
"1-bromopropane",,"PRG à 100 ans","kgCO2e/kg",0.05,,,,,"Monde","2023-08-23","2023-08-23",,,
"1-chloro-2-ethenoxyethane",,"PRG à 100 ans","kgCO2e/kg",0,,,,,"Monde","2023-08-23","2023-08-23",,,
"1-chlorobutane",,"PRG à 100 ans","kgCO2e/kg",0.01,,,,,"Monde","2023-08-23","2023-08-23",,,
"1-ethoxy-1,1,2,3,3,3- hexafluoropropane",,"PRG à 100 ans","kgCO2e/kg",26.4,,,,,"Monde","2023-08-23","2023-08-23",,,
"2,2,2-trifluoroethanol",,"PRG à 100 ans","kgCO2e/kg",35.7,,,,,"Monde","2023-08-23","2023-08-23",,,
"2,2,2-trifluoroethyl formate",,"PRG à 100 ans","kgCO2e/kg",54.8,,,,,"Monde","2023-08-23","2023-08-23",,,
"2,2,3,3,3-pentafluoropropan-1-ol",,"PRG à 100 ans","kgCO2e/kg",34.3,,,,,"Monde","2023-08-23","2023-08-23",,,
"2,2,3,3,4,4,4-heptafluorobutan- 1-ol",,"PRG à 100 ans","kgCO2e/kg",36.5,,,,,"Monde","2023-08-23","2023-08-23",,,
"2,2,3,3,4,4,5,5- octafluorocyclopentan-1-ol",,"PRG à 100 ans","kgCO2e/kg",13.6,,,,,"Monde","2023-08-23","2023-08-23",,,
"2,2,3,3-tetrafluoropropan-1-ol",,"PRG à 100 ans","kgCO2e/kg",14.4,,,,,"Monde","2023-08-23","2023-08-23",,,
"2,2,3,4,4,4-hexafluorobutan-1-ol",,"PRG à 100 ans","kgCO2e/kg",30.5,,,,,"Monde","2023-08-23","2023-08-23",,,
"2,2-difluoroethanol",,"PRG à 100 ans","kgCO2e/kg",6.18,,,,,"Monde","2023-08-23","2023-08-23",,,
"2-bromopropane",,"PRG à 100 ans","kgCO2e/kg",0.13,,,,,"Monde","2023-08-23","2023-08-23",,,
"2-chloro-1,1,2-trifluoro-1- methoxyethane",,"PRG à 100 ans","kgCO2e/kg",136,,,,,"Monde","2023-08-23","2023-08-23",,,
"2-chloropropane",,"PRG à 100 ans","kgCO2e/kg",0.18,,,,,"Monde","2023-08-23","2023-08-23",,,
"2-ethoxy-3,3,4,4,5- pentafluorotetrahydro-2,5- bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]-fu",,"PRG à 100 ans","kgCO2e/kg",48.7,,,,,"Monde","2023-08-23","2023-08-23",,,
"2-fluoroethanol",,"PRG à 100 ans","kgCO2e/kg",0.53,,,,,"Monde","2023-08-23","2023-08-23",,,
"2-methylpentan-3-one",,"PRG à 100 ans","kgCO2e/kg",0.2,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,3-trifluoro-2- (trifluoromethyl)prop-l-ene",,"PRG à 100 ans","kgCO2e/kg",0.38,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,3-trifluoropropan-1-ol",,"PRG à 100 ans","kgCO2e/kg",0.62,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,3-trifluoropropanal",,"PRG à 100 ans","kgCO2e/kg",0.03,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,4,4,5,5,6,6,6-nonafluorohex- 1-ene",,"PRG à 100 ans","kgCO2e/kg",0.2,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,4,4,5,5,6,6,7,7,7- undecafluoroheptan-1-ol",,"PRG à 100 ans","kgCO2e/kg",0.53,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,4,4,5,5,6,6,7,7,8,8,8- tridecafluorooct-1-ene",,"PRG à 100 ans","kgCO2e/kg",0.16,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,1 0-heptadecafluorodec-1-ene",,"PRG à 100 ans","kgCO2e/kg",0.14,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,1 1,11,11-nonadecafluoroundecan- 1-ol",,"PRG à 100 ans","kgCO2e/kg",0.27,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9- pentadecafluorononan-1-ol",,"PRG à 100 ans","kgCO2e/kg",0.45,,,,,"Monde","2023-08-23","2023-08-23",,,
"3,3,4,4-tetrafluorocyclobutene",,"PRG à 100 ans","kgCO2e/kg",25.6,,,,,"Monde","2023-08-23","2023-08-23",,,
"4,4,4-trifluorobutan-l-ol",,"PRG à 100 ans","kgCO2e/kg",0.05,,,,,"Monde","2023-08-23","2023-08-23",,,
"Abondance",,,"kgCO2e/kg de poids net",6.27,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Abondance",,,"kgCO2e/kg de poids net",6.19,,,,,"France continentale","2023-03-16","2024-05-17",,2.2,"Livraison : Glacé - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Abricot","dénoyauté","cru","kgCO2e/kg de poids net",0.884,,,,,"France continentale","2023-03-16","2024-05-17",,2.2,"Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Abricot","dénoyauté","sec","kgCO2e/kg de poids net",1.81,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Abricot","dénoyauté, cru",,"kgCO2e/kg de poids net",0.862,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Abricot","dénoyauté, sec",,"kgCO2e/kg de poids net",2.65,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Abricot au sirop","appertisé","égoutté","kgCO2e/kg de poids net",0.951,,,,,"France continentale","2023-03-16","2024-05-17",,2.5,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Abricot au sirop","appertisé","non égoutté","kgCO2e/kg de poids net",0.551,,,,,"France continentale","2023-03-16","2024-05-17",,2.4,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Abricot au sirop","appertisé, égoutté",,"kgCO2e/kg de poids net",1.22,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Abricot au sirop","appertisé, non égoutté",,"kgCO2e/kg de poids net",0.612,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Abricot au sirop léger","appertisé","égoutté","kgCO2e/kg de poids net",0.936,,,,,"France continentale","2023-03-16","2024-05-17",,2.5,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Abricot au sirop léger","appertisé","non égoutté","kgCO2e/kg de poids net",0.551,,,,,"France continentale","2023-03-16","2024-05-17",,2.5,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Abricot au sirop léger","appertisé, égoutté",,"kgCO2e/kg de poids net",1.22,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Abricot au sirop léger","appertisé, non égoutté",,"kgCO2e/kg de poids net",0.612,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Accra de poisson",,,"kgCO2e/kg de poids net",5.25,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Accra de poisson",,,"kgCO2e/kg de poids net",5.34,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Acide chlorhydrique",,,"kgCO2e/tonne",1199,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Acide citrique, monohydrate",,,"kgCO2e/tonne",3300,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Acide D,L tartrique",,,"kgCO2e/tonne",3300,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Acide nitrique 50%",,,"kgCO2e/tonne",3180,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Acide phosphorique",,,"kgCO2e/tonne",1424,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Acide sorbique",,,"kgCO2e/tonne",807,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Acide sulfurique",,,"kgCO2e/tonne",148,,,,,"France continentale","2014-11-05","2014-11-05",,,
"Acier ou fer blanc",,"neuf","kgCO2e/tonne",3190,,,,,"France continentale","2014-11-05","2018-09-18",,,
"Acier ou fer blanc",,"neuf","kgCO2e/tonne",2211,,,,,"France continentale","2018-09-18","2018-09-18",,,
"Acier ou fer blanc",,"recyclé","kgCO2e/tonne",1100,,,,,"France continentale","2014-11-05","2018-09-18",,,
"Acier ou fer blanc",,"recyclé","kgCO2e/tonne",938,,,,,"France continentale","2018-09-18","2018-09-18",,,
"Adhésif Epoxy","mélange",,"kgCO2e/kg",6.87,6.4,0.414,0.0534,0.0000361,"Monde","2014-11-06","2014-11-06",,,
"Adhésif Epoxy","simple à 2 composants",,"kgCO2e/kg",3.11,2.62,0.345,0.0319,0.115,"Monde","2014-11-06","2014-11-06",,,
"Adoucisseur d'eau",,"consommation moyenne annuelle d'électricité","kWh / (ménage.an)",20,,,,,"France continentale","2014-11-06","2014-11-06",,,
"Agar (algue)","cru",,"kgCO2e/kg de poids net",6.77,,,,,"France continentale","2023-03-16","2024-05-17",,3,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"Agglomérés de houille",,,"kgCO2e/kWh PCI",0.369,0.354,0.0152,0,0,"France continentale","2014-10-17","2014-10-17",,,
"Agglomérés de houille",,,"kgCO2e/kWh PCI",0.344,0.344,0,0,0,"France continentale","2014-10-17","2014-10-17",,,
"Agglomérés de houille",,,"kgCO2e/kWh PCI",0.0249,0.0097,0.0152,0,0,"France continentale","2014-10-17","2014-10-17",,,
"Agglomérés de houille",,,"kgCO2e/tep PCI",4265,4089,176,0,0,"France continentale","2014-10-17","2014-10-17",,,
"Agglomérés de houille",,,"kgCO2e/tep PCI",3977,3977,0,0,0,"France continentale","2014-10-17","2014-10-17",,,
"Agglomérés de houille",,,"kgCO2e/tep PCI",288,112,176,0,0,"France continentale","2014-10-17","2014-10-17",,,
"Agglomérés de houille",,,"kgCO2e/tonne",3260,3126,134,0,0,"France continentale","2014-10-17","2014-10-17",,,
"Agglomérés de houille",,,"kgCO2e/tonne",3040,3040,0,0,0,"France continentale","2014-10-17","2014-10-17",,,
"Agglomérés de houille",,,"kgCO2e/tonne",220,85.8,134,0,0,"France continentale","2014-10-17","2014-10-17",,,
"Agglomérés de houille",,,"kgCO2e/GJ PCI",104,98.3,5.19,0.819,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS)",,
"Agglomérés de houille",,,"kgCO2e/GJ PCI",95.8,95,0.0279,0.819,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS)",,
"Agglomérés de houille",,,"kgCO2e/GJ PCI",8.46,3.3,5.16,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS)",,
"Agglomérés de houille",,,"kgCO2e/kg",3.34,3.15,0.166,0.0262,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS)",,
"Agglomérés de houille",,,"kgCO2e/kg",3.07,3.04,0.000893,0.0262,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS)",,
"Agglomérés de houille",,,"kgCO2e/kg",0.271,0.106,0.165,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS)",,
"Agglomérés de houille",,,"kgCO2e/kWh PCI",0.376,0.354,0.0187,0.00295,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Agglomérés de houille",,,"kgCO2e/kWh PCI",0.345,0.342,0.0001,0.00295,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Agglomérés de houille",,,"kgCO2e/kWh PCI",0.0305,0.0119,0.0186,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Agglomérés de houille",,,"kgCO2e/tep PCI",4382,4129,218,34.4,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Agglomérés de houille",,,"kgCO2e/tep PCI",4026,3990,1.17,34.4,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Agglomérés de houille",,,"kgCO2e/tep PCI",356,139,217,0,0,"France continentale","2014-10-17","2014-10-17","DonnÃ©es de l'article L229-25 de la loi TECV",,
"Agneau","biologique","système numéro 1, à la ferme/FR U","kgCO2e/kg de poids vif",12.6,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Agneau","biologique","système numéro 2, à la ferme/FR U","kgCO2e/kg de poids vif",9.16,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Agneau","biologique","système numéro 3, à la ferme/FR U","kgCO2e/kg de poids vif",15.1,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Agneau","biologique, Aquitaine","Sortie de ferme","kgCO2e/kg de poids vif",12.6,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Agneau","biologique, Ile-de-France","Sortie de ferme","kgCO2e/kg de poids vif",25.4,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Agneau","biologique, système n ° 3","Sortie de ferme","kgCO2e/kg de poids vif",15,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Agneau","collier","braisé ou bouilli","kgCO2e/kg de poids net",52.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four"
"Agneau","collier","cru","kgCO2e/kg de poids net",41.3,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Agneau","collier, braisé ou bouilli",,"kgCO2e/kg de poids net",62.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","collier, cru",,"kgCO2e/kg de poids net",49.6,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","conventionnel","système Roquefort, à la ferme/FR U","kgCO2e/kg de poids vif",4.34,,,,,"France continentale","2023-03-16","2023-03-16",,,
"Agneau","conventionnel, moyenne nationale, aliments pour animaux","Sortie de ferme","kgCO2e/kg de poids vif",5.29,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Agneau","conventionnel, panifiable, 15% d'humidité","Sortie de ferme","kgCO2e/kg de poids vif",19.6,,,,,"France continentale","2020-12-04","2024-05-17",,,
"Agneau","côte filet","crue","kgCO2e/kg de poids net",41.3,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Agneau","côte filet","grillée/poêlée","kgCO2e/kg de poids net",52.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle"
"Agneau","côte filet, crue",,"kgCO2e/kg de poids net",49.6,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","côte filet, grillée/poêlée",,"kgCO2e/kg de poids net",62.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","côte première","crue","kgCO2e/kg de poids net",41.3,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Agneau","côte première","grillée/poêlée","kgCO2e/kg de poids net",52.2,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle"
"Agneau","côte première, crue",,"kgCO2e/kg de poids net",49.6,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","côte première, grillée/poêlée",,"kgCO2e/kg de poids net",62.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Agneau","côtelette","crue","kgCO2e/kg de poids net",41.3,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation"
